;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;isin_border;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
186;5359.0;19.0;53.7577155;86.8554179;218.0;4.035518610716629;-2.1151196572129494;120.09118773946582;;75.2;23.373949527009373;433.675;0.0081574385642908;-0.9972468644845518;-0.0703579076170082;Груженный движется вперед;95;7530G;240;1822.0;93.0;100.0;792.0;35.543956043956044;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;56.97704513888891;5.1;6.4;10.0;10.5;4.306826461367569;-0.5175518360990008;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
187;5380.0;20.0;53.7576188;86.8557052;217.0;4.685701512196074;-1.7120986654549148;121.76168582375703;;75.2;21.75775617792124;375.65;-0.0091771183848271;-0.9952075048434792;-0.0815743856429081;Груженный движется вперед;95;7530G;240;1662.0;94.0;96.0;792.0;35.565934065934066;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;57.3944340277778;5.3;7.1;10.3;10.1;3.93601868694277;-0.46297967541761187;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
188;5402.0;22.0;53.7575313;86.8560017;217.5;2.747429406291849;-1.820823692083951;123.31340996168811;;75.2;21.809738029252458;421.8375;-0.0372183134495768;-1.029876618741715;-0.049454471296013;Груженный стоит;95;7530G;240;1824.0;90.0;99.5;792.0;35.598901098901095;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;57.86314236111113;5.3;6.9;10.7;11.7;3.5511455404158463;-0.5612052000765355;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
189;5434.0;22.0;53.7573787;86.8564123;218.0;3.788693951831329;-2.0065547452779864;124.7831417624544;;75.4;31.9190959080892;422.5125000000001;0.0010196798205363;-0.9931681452024064;-0.0657693484245946;Груженный движется вперед;95;7530G;240;1754.5;98.0;100.0;792.0;35.64285714285714;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;58.4499652777778;6.2;6.9;10.2;11.6;3.11434213823499;-0.7102485023582825;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
190;5465.0;22.0;53.7571975;86.8567687;213.0;2.501171825224271;-1.926246429830689;126.11877394636247;;75.6;30.9366372410619;141.9;-0.0713775874375446;-0.954420312022025;-0.0418068726419904;Груженный движется вперед;95;7530G;240;1649.5;37.0;38.0;792.0;35.675824175824175;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;58.64704861111113;6.6;6.9;13.5;12.5;2.666595354108161;-0.6280302342858839;1;6.7;6.7;14.355;9.9;point_30%;8;6.7;9.9;0.0;0;0;-;0.0;0;0;22.0;0.0
191;5491.0;22.0;53.7570591;86.8570911;217.0;1.298161322214165;-1.8963860543245787;127.3157088122629;;76.0;26.222071387992145;420.175;-0.0367084735393086;-0.9442235138166616;-0.0214132762312633;Груженный движется вперед;95;7530G;240;1748.0;98.0;100.0;792.0;35.6978021978022;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;59.11390972222224;6.2;6.6;11.7;12.6;2.1297066601245467;-0.748545099012984;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
192;5515.0;23.0;53.7569139;86.8573555;217.0;3.2080568022901996;-1.6731648100429506;128.30421455938932;;76.4;23.75030952400942;421.05;-0.0152951973080452;-1.0186601407158151;-0.0571020699500356;Груженный движется вперед;95;7530G;240;1824.0;89.0;99.0;792.0;35.71978021978022;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;59.58174305555557;6.0;6.1;9.6;11.6;1.6562236528738525;-0.659207642098286;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
193;5546.0;25.0;53.756745;86.8577242;216.0;1.0564502196057635;-1.8016529475950782;129.1478927203089;;76.0;30.6978004773369;140.425;-0.0214132762312633;-1.0227388599979603;-0.0188640766799225;Груженный движется вперед;95;7530G;240;1421.0;42.0;46.5;792.0;35.74175824175824;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;59.73777083333335;6.5;7.0;10.2;10.0;1.409741523118598;-0.6821446529858712;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
194;5575.0;23.0;53.7565789;86.8580701;219.0;-1.2674062630568121;-1.8198251954535831;129.91187739463842;;76.0;29.328503859748896;151.65;-0.0285510349750178;-1.0135617416131335;0.0224329560517997;Груженный движется вперед;95;7530G;240;1187.0;54.0;100.0;792.0;35.76373626373626;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;59.94839583333335;6.1;7.6;10.8;11.8;1.2119600002462252;-0.5571445821245495;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
195;5607.0;21.0;53.7564273;86.8584817;216.0;0.46005227362492224;-1.7971237362174717;130.5977011494277;;76.0;31.91635127409695;113.445;-0.0254919955134087;-1.015601101254206;-0.0081574385642908;Груженный движется вперед;95;7530G;240;965.5;41.1;79.75;792.0;35.785714285714285;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;60.07444583333335;6.4;8.3;10.0;13.1;0.9880111698336134;-0.354818181871833;1;6.7;6.7;9.9;14.355;point_30%;9;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
196;5632.0;22.0;53.7563491;86.8588387;215.0;-0.05760591006369457;-1.7064825243779305;131.2099616858262;;76.4;25.05692128834601;62.505;-0.0356887937187723;-1.0135617416131335;0.0010196798205363;Груженный движется вперед;95;7530G;240;757.0;23.9;52.75;792.0;35.80769230769231;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;60.14389583333335;6.0;7.5;10.1;8.8;0.7347979913233126;-0.1949722087306185;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
197;5658.0;22.0;53.7563036;86.8592284;214.0;0.9441664592787562;-2.1385757351409063;131.71034482758864;;76.4;26.143652969486528;24.3;-0.061180789232181;-0.9880697460997246;-0.0163148771285816;Груженный движется вперед;95;7530G;240;760.0;11.0;32.5;792.0;35.82967032967033;788.0;33.0;856.0;45.0;856.0;42.0;12.0;45.0;836.0;46.0;60.17764583333335;6.9;7.2;10.6;10.1;0.7682210959443769;-0.20290177402041976;1;6.7;6.7;9.9;9.9;-;0;6.7;9.9;0.0;0;0;-;0.0;0;0;0.0;0.0
